INDEX1 LOG(N) INDEX2 LOG(G)   CII(erg/cm2/s)
    23  6.750     24  5.500     0.401E-02
    23  6.750     25  5.750     0.501E-02
    23  6.750     26  6.000     0.561E-02
    23  6.750     27  6.250     0.663E-02
    23  6.750     28  6.500     0.722E-02
    24  7.000      0 -0.500     0.447E-14
    24  7.000      1 -0.250     0.370E-13
    24  7.000      2  0.000     0.278E-12
    24  7.000      3  0.250     0.195E-11
    24  7.000      4  0.500     0.128E-10
    24  7.000      5  0.750     0.163E-09
    24  7.000      6  1.000     0.270E-08
    24  7.000      7  1.250     0.873E-08
    24  7.000      8  1.500     0.101E-07
    24  7.000      9  1.750     0.431E-07
    24  7.000     10  2.000     0.190E-06
    24  7.000     11  2.250     0.833E-06
    24  7.000     12  2.500     0.352E-05
    24  7.000     13  2.750     0.138E-04
    24  7.000     14  3.000     0.436E-04
    24  7.000     15  3.250     0.977E-04
    24  7.000     16  3.500     0.162E-03
    24  7.000     17  3.750     0.224E-03
    24  7.000     18  4.000     0.300E-03
    24  7.000     19  4.250     0.453E-03
    24  7.000     20  4.500     0.824E-03
    24  7.000     21  4.750     0.140E-02
    24  7.000     22  5.000     0.211E-02
    24  7.000     23  5.250     0.287E-02
    24  7.000     24  5.500     0.339E-02
    24  7.000     25  5.750     0.440E-02
    24  7.000     26  6.000     0.499E-02
    24  7.000     27  6.250     0.602E-02
    24  7.000     28  6.500     0.662E-02
