INDEX1 LOG(N) INDEX2 LOG(G)   CII(erg/cm2/s)
     5  2.250     11  2.250     0.957E-03
     5  2.250     12  2.500     0.110E-02
     5  2.250     13  2.750     0.125E-02
     5  2.250     14  3.000     0.139E-02
     5  2.250     15  3.250     0.152E-02
     5  2.250     16  3.500     0.168E-02
     5  2.250     17  3.750     0.184E-02
     5  2.250     18  4.000     0.200E-02
     5  2.250     19  4.250     0.214E-02
     5  2.250     20  4.500     0.227E-02
     5  2.250     21  4.750     0.239E-02
     5  2.250     22  5.000     0.250E-02
     5  2.250     23  5.250     0.261E-02
     5  2.250     24  5.500     0.270E-02
     5  2.250     25  5.750     0.278E-02
     5  2.250     26  6.000     0.285E-02
     5  2.250     27  6.250     0.292E-02
     5  2.250     28  6.500     0.297E-02
     6  2.500      0 -0.500     0.147E-04
     6  2.500      1 -0.250     0.320E-04
     6  2.500      2  0.000     0.625E-04
     6  2.500      3  0.250     0.111E-03
     6  2.500      4  0.500     0.170E-03
     6  2.500      5  0.750     0.253E-03
     6  2.500      6  1.000     0.360E-03
     6  2.500      7  1.250     0.493E-03
     6  2.500      8  1.500     0.650E-03
     6  2.500      9  1.750     0.822E-03
     6  2.500     10  2.000     0.101E-02
     6  2.500     11  2.250     0.120E-02
     6  2.500     12  2.500     0.139E-02
     6  2.500     13  2.750     0.158E-02
     6  2.500     14  3.000     0.177E-02
     6  2.500     15  3.250     0.195E-02
     6  2.500     16  3.500     0.213E-02
     6  2.500     17  3.750     0.236E-02
     6  2.500     18  4.000     0.257E-02
     6  2.500     19  4.250     0.278E-02
     6  2.500     20  4.500     0.297E-02
     6  2.500     21  4.750     0.315E-02
     6  2.500     22  5.000     0.332E-02
     6  2.500     23  5.250     0.347E-02
     6  2.500     24  5.500     0.361E-02
     6  2.500     25  5.750     0.373E-02
     6  2.500     26  6.000     0.385E-02
     6  2.500     27  6.250     0.395E-02
     6  2.500     28  6.500     0.403E-02
     7  2.750      0 -0.500     0.109E-04
     7  2.750      1 -0.250     0.268E-04
     7  2.750      2  0.000     0.574E-04
     7  2.750      3  0.250     0.110E-03
     7  2.750      4  0.500     0.179E-03
     7  2.750      5  0.750     0.280E-03
     7  2.750      6  1.000     0.413E-03
     7  2.750      7  1.250     0.578E-03
     7  2.750      8  1.500     0.771E-03
     7  2.750      9  1.750     0.987E-03
     7  2.750     10  2.000     0.122E-02
     7  2.750     11  2.250     0.145E-02
     7  2.750     12  2.500     0.169E-02
     7  2.750     13  2.750     0.194E-02
     7  2.750     14  3.000     0.218E-02
     7  2.750     15  3.250     0.242E-02
     7  2.750     16  3.500     0.265E-02
     7  2.750     17  3.750     0.288E-02
     7  2.750     18  4.000     0.319E-02
     7  2.750     19  4.250     0.347E-02
     7  2.750     20  4.500     0.374E-02
     7  2.750     21  4.750     0.399E-02
     7  2.750     22  5.000     0.423E-02
     7  2.750     23  5.250     0.445E-02
     7  2.750     24  5.500     0.465E-02
     7  2.750     25  5.750     0.484E-02
     7  2.750     26  6.000     0.501E-02
     7  2.750     27  6.250     0.517E-02
     7  2.750     28  6.500     0.531E-02
     8  3.000      0 -0.500     0.771E-05
     8  3.000      1 -0.250     0.214E-04
     8  3.000      2  0.000     0.503E-04
     8  3.000      3  0.250     0.103E-03
     8  3.000      4  0.500     0.179E-03
     8  3.000      5  0.750     0.295E-03
     8  3.000      6  1.000     0.455E-03
     8  3.000      7  1.250     0.655E-03
     8  3.000      8  1.500     0.886E-03
     8  3.000      9  1.750     0.114E-02
     8  3.000     10  2.000     0.142E-02
     8  3.000     11  2.250     0.170E-02
     8  3.000     12  2.500     0.199E-02
     8  3.000     13  2.750     0.229E-02
     8  3.000     14  3.000     0.258E-02
     8  3.000     15  3.250     0.288E-02
     8  3.000     16  3.500     0.317E-02
     8  3.000     17  3.750     0.346E-02
     8  3.000     18  4.000     0.375E-02
     8  3.000     19  4.250     0.416E-02
     8  3.000     20  4.500     0.451E-02
     8  3.000     21  4.750     0.485E-02
     8  3.000     22  5.000     0.517E-02
     8  3.000     23  5.250     0.547E-02
     8  3.000     24  5.500     0.576E-02
     8  3.000     25  5.750     0.604E-02
     8  3.000     26  6.000     0.628E-02
     8  3.000     27  6.250     0.651E-02
     8  3.000     28  6.500     0.672E-02
     9  3.250      0 -0.500     0.518E-05
     9  3.250      1 -0.250     0.165E-04
     9  3.250      2  0.000     0.420E-04
     9  3.250      3  0.250     0.919E-04
     9  3.250      4  0.500     0.169E-03
     9  3.250      5  0.750     0.293E-03
     9  3.250      6  1.000     0.474E-03
     9  3.250      7  1.250     0.706E-03
     9  3.250      8  1.500     0.973E-03
     9  3.250      9  1.750     0.126E-02
     9  3.250     10  2.000     0.158E-02
     9  3.250     11  2.250     0.190E-02
     9  3.250     12  2.500     0.224E-02
     9  3.250     13  2.750     0.258E-02
     9  3.250     14  3.000     0.293E-02
     9  3.250     15  3.250     0.328E-02
     9  3.250     16  3.500     0.363E-02
     9  3.250     17  3.750     0.398E-02
     9  3.250     18  4.000     0.434E-02
     9  3.250     19  4.250     0.469E-02
     9  3.250     20  4.500     0.521E-02
     9  3.250     21  4.750     0.564E-02
     9  3.250     22  5.000     0.605E-02
     9  3.250     23  5.250     0.643E-02
     9  3.250     24  5.500     0.682E-02
     9  3.250     25  5.750     0.719E-02
     9  3.250     26  6.000     0.754E-02
     9  3.250     27  6.250     0.785E-02
     9  3.250     28  6.500     0.815E-02
    10  3.500      0 -0.500     0.322E-05
    10  3.500      1 -0.250     0.118E-04
    10  3.500      2  0.000     0.331E-04
    10  3.500      3  0.250     0.771E-04
    10  3.500      4  0.500     0.150E-03
    10  3.500      5  0.750     0.273E-03
    10  3.500      6  1.000     0.461E-03
    10  3.500      7  1.250     0.712E-03
    10  3.500      8  1.500     0.101E-02
    10  3.500      9  1.750     0.133E-02
    10  3.500     10  2.000     0.166E-02
    10  3.500     11  2.250     0.202E-02
    10  3.500     12  2.500     0.240E-02
    10  3.500     13  2.750     0.278E-02
    10  3.500     14  3.000     0.317E-02
    10  3.500     15  3.250     0.357E-02
    10  3.500     16  3.500     0.397E-02
    10  3.500     17  3.750     0.438E-02
    10  3.500     18  4.000     0.480E-02
    10  3.500     19  4.250     0.522E-02
    10  3.500     20  4.500     0.564E-02
    10  3.500     21  4.750     0.629E-02
    10  3.500     22  5.000     0.679E-02
    10  3.500     23  5.250     0.727E-02
    10  3.500     24  5.500     0.773E-02
    10  3.500     25  5.750     0.819E-02
    10  3.500     26  6.000     0.863E-02
    10  3.500     27  6.250     0.905E-02
    10  3.500     28  6.500     0.944E-02
    11  3.750      0 -0.500     0.182E-05
    11  3.750      1 -0.250     0.754E-05
    11  3.750      2  0.000     0.236E-04
    11  3.750      3  0.250     0.592E-04
    11  3.750      4  0.500     0.122E-03
    11  3.750      5  0.750     0.234E-03
    11  3.750      6  1.000     0.412E-03
    11  3.750      7  1.250     0.661E-03
    11  3.750      8  1.500     0.968E-03
    11  3.750      9  1.750     0.131E-02
    11  3.750     10  2.000     0.166E-02
    11  3.750     11  2.250     0.204E-02
    11  3.750     12  2.500     0.243E-02
    11  3.750     13  2.750     0.285E-02
    11  3.750     14  3.000     0.328E-02
    11  3.750     15  3.250     0.372E-02
    11  3.750     16  3.500     0.418E-02
    11  3.750     17  3.750     0.463E-02
    11  3.750     18  4.000     0.510E-02
    11  3.750     19  4.250     0.558E-02
    11  3.750     20  4.500     0.607E-02
    11  3.750     21  4.750     0.656E-02
    11  3.750     22  5.000     0.733E-02
    11  3.750     23  5.250     0.789E-02
    11  3.750     24  5.500     0.840E-02
    11  3.750     25  5.750     0.896E-02
    11  3.750     26  6.000     0.947E-02
    11  3.750     27  6.250     0.998E-02
    11  3.750     28  6.500     0.105E-01
    12  4.000      0 -0.500     0.101E-05
    12  4.000      1 -0.250     0.409E-05
    12  4.000      2  0.000     0.142E-04
    12  4.000      3  0.250     0.394E-04
    12  4.000      4  0.500     0.882E-04
    12  4.000      5  0.750     0.179E-03
    12  4.000      6  1.000     0.331E-03
    12  4.000      7  1.250     0.556E-03
    12  4.000      8  1.500     0.851E-03
    12  4.000      9  1.750     0.120E-02
    12  4.000     10  2.000     0.157E-02
    12  4.000     11  2.250     0.196E-02
    12  4.000     12  2.500     0.236E-02
    12  4.000     13  2.750     0.279E-02
    12  4.000     14  3.000     0.325E-02
    12  4.000     15  3.250     0.372E-02
    12  4.000     16  3.500     0.422E-02
    12  4.000     17  3.750     0.473E-02
    12  4.000     18  4.000     0.524E-02
    12  4.000     19  4.250     0.577E-02
    12  4.000     20  4.500     0.632E-02
    12  4.000     21  4.750     0.686E-02
    12  4.000     22  5.000     0.764E-02
    12  4.000     23  5.250     0.826E-02
    12  4.000     24  5.500     0.884E-02
    12  4.000     25  5.750     0.943E-02
    12  4.000     26  6.000     0.100E-01
    12  4.000     27  6.250     0.106E-01
    12  4.000     28  6.500     0.111E-01
    13  4.250      0 -0.500     0.316E-06
    13  4.250      1 -0.250     0.159E-05
    13  4.250      2  0.000     0.642E-05
    13  4.250      3  0.250     0.212E-04
    13  4.250      4  0.500     0.534E-04
    13  4.250      5  0.750     0.118E-03
    13  4.250      6  1.000     0.233E-03
    13  4.250      7  1.250     0.417E-03
    13  4.250      8  1.500     0.679E-03
    13  4.250      9  1.750     0.101E-02
    13  4.250     10  2.000     0.138E-02
    13  4.250     11  2.250     0.178E-02
    13  4.250     12  2.500     0.220E-02
    13  4.250     13  2.750     0.264E-02
    13  4.250     14  3.000     0.311E-02
    13  4.250     15  3.250     0.361E-02
    13  4.250     16  3.500     0.414E-02
    13  4.250     17  3.750     0.469E-02
    13  4.250     18  4.000     0.524E-02
    13  4.250     19  4.250     0.581E-02
    13  4.250     20  4.500     0.640E-02
    13  4.250     21  4.750     0.699E-02
    13  4.250     22  5.000     0.777E-02
    13  4.250     23  5.250     0.842E-02
    13  4.250     24  5.500     0.904E-02
    13  4.250     25  5.750     0.966E-02
    13  4.250     26  6.000     0.103E-01
    13  4.250     27  6.250     0.109E-01
    13  4.250     28  6.500     0.115E-01
    14  4.500      0 -0.500     0.748E-07
    14  4.500      1 -0.250     0.469E-06
    14  4.500      2  0.000     0.212E-05
    14  4.500      3  0.250     0.824E-05
    14  4.500      4  0.500     0.261E-04
    14  4.500      5  0.750     0.652E-04
    14  4.500      6  1.000     0.142E-03
    14  4.500      7  1.250     0.276E-03
    14  4.500      8  1.500     0.488E-03
    14  4.500      9  1.750     0.776E-03
    14  4.500     10  2.000     0.113E-02
    14  4.500     11  2.250     0.153E-02
    14  4.500     12  2.500     0.196E-02
    14  4.500     13  2.750     0.241E-02
    14  4.500     14  3.000     0.289E-02
    14  4.500     15  3.250     0.341E-02
    14  4.500     16  3.500     0.397E-02
    14  4.500     17  3.750     0.455E-02
    14  4.500     18  4.000     0.514E-02
    14  4.500     19  4.250     0.575E-02
    14  4.500     20  4.500     0.636E-02
    14  4.500     21  4.750     0.707E-02
    14  4.500     22  5.000     0.774E-02
    14  4.500     23  5.250     0.839E-02
    14  4.500     24  5.500     0.902E-02
    14  4.500     25  5.750     0.965E-02
    14  4.500     26  6.000     0.103E-01
    14  4.500     27  6.250     0.109E-01
    14  4.500     28  6.500     0.115E-01
    15  4.750      0 -0.500     0.138E-07
    15  4.750      1 -0.250     0.113E-06
    15  4.750      2  0.000     0.617E-06
    15  4.750      3  0.250     0.256E-05
    15  4.750      4  0.500     0.927E-05
    15  4.750      5  0.750     0.300E-04
    15  4.750      6  1.000     0.741E-04
    15  4.750      7  1.250     0.161E-03
    15  4.750      8  1.500     0.315E-03
    15  4.750      9  1.750     0.543E-03
    15  4.750     10  2.000     0.849E-03
    15  4.750     11  2.250     0.123E-02
    15  4.750     12  2.500     0.166E-02
    15  4.750     13  2.750     0.212E-02
    15  4.750     14  3.000     0.262E-02
    15  4.750     15  3.250     0.315E-02
    15  4.750     16  3.500     0.373E-02
    15  4.750     17  3.750     0.434E-02
    15  4.750     18  4.000     0.496E-02
    15  4.750     19  4.250     0.558E-02
    15  4.750     20  4.500     0.624E-02
    15  4.750     21  4.750     0.690E-02
    15  4.750     22  5.000     0.755E-02
    15  4.750     23  5.250     0.818E-02
    15  4.750     24  5.500     0.880E-02
    15  4.750     25  5.750     0.942E-02
    15  4.750     26  6.000     0.100E-01
    15  4.750     27  6.250     0.106E-01
    15  4.750     28  6.500     0.112E-01
    16  5.000      0 -0.500     0.202E-08
    16  5.000      1 -0.250     0.213E-07
    16  5.000      2  0.000     0.153E-06
    16  5.000      3  0.250     0.746E-06
    16  5.000      4  0.500     0.280E-05
    16  5.000      5  0.750     0.114E-04
    16  5.000      6  1.000     0.331E-04
    16  5.000      7  1.250     0.823E-04
    16  5.000      8  1.500     0.181E-03
    16  5.000      9  1.750     0.343E-03
    16  5.000     10  2.000     0.586E-03
    16  5.000     11  2.250     0.914E-03
    16  5.000     12  2.500     0.132E-02
    16  5.000     13  2.750     0.179E-02
    16  5.000     14  3.000     0.231E-02
    16  5.000     15  3.250     0.286E-02
    16  5.000     16  3.500     0.345E-02
    16  5.000     17  3.750     0.406E-02
    16  5.000     18  4.000     0.468E-02
    16  5.000     19  4.250     0.532E-02
    16  5.000     20  4.500     0.595E-02
    16  5.000     21  4.750     0.656E-02
    16  5.000     22  5.000     0.718E-02
    16  5.000     23  5.250     0.779E-02
    16  5.000     24  5.500     0.841E-02
    16  5.000     25  5.750     0.901E-02
    16  5.000     26  6.000     0.961E-02
    16  5.000     27  6.250     0.102E-01
    16  5.000     28  6.500     0.108E-01
    17  5.250      0 -0.500     0.242E-09
    17  5.250      1 -0.250     0.311E-08
    17  5.250      2  0.000     0.296E-07
    17  5.250      3  0.250     0.190E-06
    17  5.250      4  0.500     0.818E-06
    17  5.250      5  0.750     0.382E-05
    17  5.250      6  1.000     0.125E-04
    17  5.250      7  1.250     0.366E-04
    17  5.250      8  1.500     0.925E-04
    17  5.250      9  1.750     0.195E-03
    17  5.250     10  2.000     0.368E-03
    17  5.250     11  2.250     0.629E-03
    17  5.250     12  2.500     0.986E-03
    17  5.250     13  2.750     0.143E-02
    17  5.250     14  3.000     0.196E-02
    17  5.250     15  3.250     0.252E-02
    17  5.250     16  3.500     0.308E-02
    17  5.250     17  3.750     0.366E-02
    17  5.250     18  4.000     0.427E-02
    17  5.250     19  4.250     0.488E-02
    17  5.250     20  4.500     0.549E-02
    17  5.250     21  4.750     0.605E-02
    17  5.250     22  5.000     0.665E-02
    17  5.250     23  5.250     0.724E-02
    17  5.250     24  5.500     0.782E-02
    17  5.250     25  5.750     0.844E-02
    17  5.250     26  6.000     0.903E-02
    17  5.250     27  6.250     0.963E-02
    17  5.250     28  6.500     0.103E-01
    18  5.500      0 -0.500     0.267E-10
    18  5.500      1 -0.250     0.389E-09
    18  5.500      2  0.000     0.448E-08
    18  5.500      3  0.250     0.379E-07
    18  5.500      4  0.500     0.211E-06
    18  5.500      5  0.750     0.123E-05
    18  5.500      6  1.000     0.398E-05
    18  5.500      7  1.250     0.139E-04
    18  5.500      8  1.500     0.413E-04
    18  5.500      9  1.750     0.985E-04
    18  5.500     10  2.000     0.208E-03
    18  5.500     11  2.250     0.396E-03
    18  5.500     12  2.500     0.682E-03
    18  5.500     13  2.750     0.107E-02
    18  5.500     14  3.000     0.156E-02
    18  5.500     15  3.250     0.210E-02
    18  5.500     16  3.500     0.264E-02
    18  5.500     17  3.750     0.317E-02
    18  5.500     18  4.000     0.372E-02
    18  5.500     19  4.250     0.430E-02
    18  5.500     20  4.500     0.487E-02
    18  5.500     21  4.750     0.536E-02
    18  5.500     22  5.000     0.592E-02
    18  5.500     23  5.250     0.653E-02
    18  5.500     24  5.500     0.712E-02
    18  5.500     25  5.750     0.772E-02
    18  5.500     26  6.000     0.838E-02
    18  5.500     27  6.250     0.900E-02
    18  5.500     28  6.500     0.971E-02
    19  5.750      0 -0.500     0.333E-11
    19  5.750      1 -0.250     0.484E-10
    19  5.750      2  0.000     0.608E-09
    19  5.750      3  0.250     0.605E-08
    19  5.750      4  0.500     0.433E-07
    19  5.750      5  0.750     0.346E-06
    19  5.750      6  1.000     0.143E-05
    19  5.750      7  1.250     0.448E-05
    19  5.750      8  1.500     0.157E-04
    19  5.750      9  1.750     0.432E-04
    19  5.750     10  2.000     0.104E-03
    19  5.750     11  2.250     0.224E-03
    19  5.750     12  2.500     0.430E-03
    19  5.750     13  2.750     0.745E-03
    19  5.750     14  3.000     0.116E-02
    19  5.750     15  3.250     0.162E-02
    19  5.750     16  3.500     0.206E-02
    19  5.750     17  3.750     0.249E-02
    19  5.750     18  4.000     0.298E-02
    19  5.750     19  4.250     0.355E-02
    19  5.750     20  4.500     0.414E-02
    19  5.750     21  4.750     0.461E-02
    19  5.750     22  5.000     0.517E-02
    19  5.750     23  5.250     0.576E-02
    19  5.750     24  5.500     0.645E-02
    19  5.750     25  5.750     0.707E-02
    19  5.750     26  6.000     0.783E-02
    19  5.750     27  6.250     0.846E-02
    19  5.750     28  6.500     0.935E-02
    20  6.000      0 -0.500     0.559E-12
    20  6.000      1 -0.250     0.714E-11
